Date and Time,Seconds     ,Pressure (PSI)                ,Temperature (C)               ,
9/20/2016 10:30:00 AM ,  149400.000,                        11.343,                         9.132,
9/20/2016 10:45:00 AM ,  150300.000,                        11.344,                         9.236,
9/20/2016 11:00:00 AM ,  151200.000,                        11.340,                         9.339,
9/20/2016 11:15:00 AM ,  152100.000,                        11.338,                         9.443,
9/20/2016 11:30:00 AM ,  153000.000,                        11.341,                         9.547,
9/20/2016 11:45:00 AM ,  153900.000,                        11.334,                         9.650,
9/20/2016 12:00:00 PM ,  154800.000,                        11.333,                         9.702,
9/20/2016 12:15:00 PM ,  155700.000,                        11.335,                         9.754,
9/20/2016 12:30:00 PM ,  156600.000,                        11.329,                         9.857,
9/20/2016 12:45:00 PM ,  157500.000,                        11.325,                         9.909,
9/20/2016 1:00:00 PM  ,  158400.000,                        11.325,                         9.960,
9/20/2016 1:15:00 PM  ,  159300.000,                        11.320,                        10.064,
9/20/2016 1:30:00 PM  ,  160200.000,                        11.317,                        10.115,
9/20/2016 1:45:00 PM  ,  161100.000,                        11.316,                        10.167,
9/20/2016 2:00:00 PM  ,  162000.000,                        11.313,                        10.322,
9/20/2016 2:15:00 PM  ,  162900.000,                        11.311,                        10.425,
9/20/2016 2:30:00 PM  ,  163800.000,                        11.310,                        10.425,
9/20/2016 2:45:00 PM  ,  164700.000,                        11.305,                        10.477,
9/20/2016 3:00:00 PM  ,  165600.000,                        11.304,                        10.477,
9/20/2016 3:15:00 PM  ,  166500.000,                        11.300,                        10.477,
9/20/2016 3:30:00 PM  ,  167400.000,                        11.298,                        10.528,
9/20/2016 3:45:00 PM  ,  168300.000,                        11.298,                        10.528,
9/20/2016 4:00:00 PM  ,  169200.000,                        11.300,                        10.477,
9/20/2016 4:15:00 PM  ,  170100.000,                        11.299,                        10.477,
9/20/2016 4:30:00 PM  ,  171000.000,                        11.299,                        10.373,
9/20/2016 4:45:00 PM  ,  171900.000,                        11.296,                        10.373,
9/20/2016 5:00:00 PM  ,  172800.000,                        11.297,                        10.322,
9/20/2016 5:15:00 PM  ,  173700.000,                        11.299,                        10.322,
9/20/2016 5:30:00 PM  ,  174600.000,                        11.298,                        10.219,
9/20/2016 5:45:00 PM  ,  175500.000,                        11.298,                        10.219,
9/20/2016 6:00:00 PM  ,  176400.000,                        11.301,                        10.167,
9/20/2016 6:15:00 PM  ,  177300.000,                        11.299,                        10.115,
9/20/2016 6:30:00 PM  ,  178200.000,                        11.300,                        10.064,
9/20/2016 6:45:00 PM  ,  179100.000,                        11.297,                        10.012,
9/20/2016 7:00:00 PM  ,  180000.000,                        11.299,                         9.960,
9/20/2016 7:15:00 PM  ,  180900.000,                        11.300,                         9.909,
9/20/2016 7:30:00 PM  ,  181800.000,                        11.298,                         9.857,
9/20/2016 7:45:00 PM  ,  182700.000,                        11.296,                         9.805,
9/20/2016 8:00:00 PM  ,  183600.000,                        11.301,                         9.805,
9/20/2016 8:15:00 PM  ,  184500.000,                        11.304,                         9.805,
9/20/2016 8:30:00 PM  ,  185400.000,                        11.303,                         9.754,
9/20/2016 8:45:00 PM  ,  186300.000,                        11.302,                         9.754,
9/20/2016 9:00:00 PM  ,  187200.000,                        11.305,                         9.754,
9/20/2016 9:15:00 PM  ,  188100.000,                        11.304,                         9.702,
9/20/2016 9:30:00 PM  ,  189000.000,                        11.304,                         9.650,
9/20/2016 9:45:00 PM  ,  189900.000,                        11.308,                         9.650,
9/20/2016 10:00:00 PM ,  190800.000,                        11.304,                         9.598,
9/20/2016 10:15:00 PM ,  191700.000,                        11.303,                         9.547,
9/20/2016 10:30:00 PM ,  192600.000,                        11.304,                         9.443,
9/20/2016 10:45:00 PM ,  193500.000,                        11.302,                         9.443,
9/20/2016 11:00:00 PM ,  194400.000,                        11.303,                         9.391,
9/20/2016 11:15:00 PM ,  195300.000,                        11.301,                         9.391,
9/20/2016 11:30:00 PM ,  196200.000,                        11.305,                         9.339,
9/20/2016 11:45:00 PM ,  197100.000,                        11.301,                         9.236,
9/21/2016 12:00:00 AM ,  198000.000,                        11.299,                         9.236,
9/21/2016 12:15:00 AM ,  198900.000,                        11.302,                         9.184,
9/21/2016 12:30:00 AM ,  199800.000,                        11.298,                         9.184,
9/21/2016 12:45:00 AM ,  200700.000,                        11.300,                         9.132,
9/21/2016 1:00:00 AM  ,  201600.000,                        11.298,                         9.184,
9/21/2016 1:15:00 AM  ,  202500.000,                        11.296,                         9.184,
9/21/2016 1:30:00 AM  ,  203400.000,                        11.295,                         9.184,
9/21/2016 1:45:00 AM  ,  204300.000,                        11.293,                         9.184,
9/21/2016 2:00:00 AM  ,  205200.000,                        11.301,                         9.236,
9/21/2016 2:15:00 AM  ,  206100.000,                        11.296,                         9.288,
9/21/2016 2:30:00 AM  ,  207000.000,                        11.295,                         9.288,
9/21/2016 2:45:00 AM  ,  207900.000,                        11.297,                         9.339,
9/21/2016 3:00:00 AM  ,  208800.000,                        11.295,                         9.391,
9/21/2016 3:15:00 AM  ,  209700.000,                        11.292,                         9.391,
9/21/2016 3:30:00 AM  ,  210600.000,                        11.290,                         9.391,
9/21/2016 3:45:00 AM  ,  211500.000,                        11.289,                         9.391,
9/21/2016 4:00:00 AM  ,  212400.000,                        11.288,                         9.391,
9/21/2016 4:15:00 AM  ,  213300.000,                        11.290,                         9.391,
9/21/2016 4:30:00 AM  ,  214200.000,                        11.286,                         9.391,
9/21/2016 4:45:00 AM  ,  215100.000,                        11.287,                         9.391,
9/21/2016 5:00:00 AM  ,  216000.000,                        11.291,                         9.391,
9/21/2016 5:15:00 AM  ,  216900.000,                        11.289,                         9.391,
9/21/2016 5:30:00 AM  ,  217800.000,                        11.287,                         9.443,
9/21/2016 5:45:00 AM  ,  218700.000,                        11.291,                         9.443,
9/21/2016 6:00:00 AM  ,  219600.000,                        11.294,                         9.443,
9/21/2016 6:15:00 AM  ,  220500.000,                        11.292,                         9.443,
9/21/2016 6:30:00 AM  ,  221400.000,                        11.294,                         9.443,
9/21/2016 6:45:00 AM  ,  222300.000,                        11.296,                         9.391,
9/21/2016 7:00:00 AM  ,  223200.000,                        11.295,                         9.391,
9/21/2016 7:15:00 AM  ,  224100.000,                        11.286,                         9.443,
9/21/2016 7:30:00 AM  ,  225000.000,                        11.291,                         9.443,
9/21/2016 7:45:00 AM  ,  225900.000,                        11.291,                         9.443,
9/21/2016 8:00:00 AM  ,  226800.000,                        11.292,                         9.495,
9/21/2016 8:15:00 AM  ,  227700.000,                        11.299,                         9.495,
9/21/2016 8:30:00 AM  ,  228600.000,                        11.297,                         9.547,
9/21/2016 8:45:00 AM  ,  229500.000,                        11.296,                         9.598,
9/21/2016 9:00:00 AM  ,  230400.000,                        11.298,                         9.598,
9/21/2016 9:15:00 AM  ,  231300.000,                        11.297,                         9.650,
9/21/2016 9:30:00 AM  ,  232200.000,                        11.298,                         9.754,
9/21/2016 9:45:00 AM  ,  233100.000,                        11.292,                         9.805,
9/21/2016 10:00:00 AM ,  234000.000,                        11.294,                         9.857,
9/21/2016 10:15:00 AM ,  234900.000,                        11.301,                         9.909,
9/21/2016 10:30:00 AM ,  235800.000,                        11.298,                         9.960,
9/21/2016 10:45:00 AM ,  236700.000,                        11.296,                        10.012,
9/21/2016 11:00:00 AM ,  237600.000,                        11.295,                        10.064,
9/21/2016 11:15:00 AM ,  238500.000,                        11.292,                        10.167,
9/21/2016 11:30:00 AM ,  239400.000,                        11.288,                        10.219,
9/21/2016 11:45:00 AM ,  240300.000,                        11.289,                        10.322,
